Region,Year,notesRegCode,Species,Catch
SSE,1886,,Chinook,0
SSE,1887,,Chinook,0
SSE,1888,,Chinook,0
SSE,1889,,Chinook,0
SSE,1890,,Chinook,0
SSE,1891,,Chinook,0
SSE,1892,,Chinook,0
SSE,1893,,Chinook,0
SSE,1894,,Chinook,0
SSE,1895,,Chinook,3
SSE,1896,,Chinook,4
SSE,1897,,Chinook,5
SSE,1898,,Chinook,9
SSE,1899,,Chinook,12
SSE,1900,,Chinook,0
SSE,1901,,Chinook,3
SSE,1902,,Chinook,4
SSE,1903,,Chinook,0
SSE,1904,,Chinook,4
SSE,1905,,Chinook,9
SSE,1906,,Chinook,3
SSE,1907,,Chinook,17
SSE,1908,,Chinook,43
SSE,1909,,Chinook,34
SSE,1910,,Chinook,66
SSE,1911,,Chinook,80
SSE,1912,,Chinook,152
SSE,1913,,Chinook,191
SSE,1914,,Chinook,133
SSE,1915,,Chinook,119
SSE,1916,,Chinook,39
SSE,1917,,Chinook,115
SSE,1918,,Chinook,122
SSE,1919,,Chinook,121
SSE,1920,,Chinook,81
SSE,1921,,Chinook,54
SSE,1922,,Chinook,79
SSE,1923,,Chinook,140
SSE,1924,,Chinook,49
SSE,1925,,Chinook,106
SSE,1926,,Chinook,63
SSE,1927,,Chinook,69
SSE,1928,,Chinook,145
SSE,1929,,Chinook,76
SSE,1930,,Chinook,220
SSE,1931,,Chinook,297
SSE,1932,,Chinook,315
SSE,1933,,Chinook,341
SSE,1934,,Chinook,200
SSE,1935,,Chinook,36
SSE,1936,,Chinook,399
SSE,1937,,Chinook,609
SSE,1938,,Chinook,485
SSE,1939,,Chinook,152
SSE,1940,,Chinook,57
SSE,1941,,Chinook,93
SSE,1942,,Chinook,378
SSE,1943,,Chinook,146
SSE,1944,,Chinook,152
SSE,1945,,Chinook,257
SSE,1946,,Chinook,298
SSE,1947,,Chinook,319
SSE,1948,,Chinook,266
SSE,1949,,Chinook,257
SSE,1950,,Chinook,187
SSE,1951,,Chinook,211
SSE,1952,,Chinook,263
SSE,1953,,Chinook,204
SSE,1954,,Chinook,169
SSE,1955,,Chinook,151
SSE,1956,,Chinook,107
SSE,1957,,Chinook,121
SSE,1958,,Chinook,138
SSE,1959,,Chinook,150
SSE,1960,,Chinook,124
SSE,1961,,Chinook,100
SSE,1962,,Chinook,73
