date,aqi
2017-01-01,39.0
2017-01-02,39.0
2017-01-03,49.666666666666664
2017-01-04,45.75
2017-01-05,44.0
2017-01-06,44.4
2017-01-07,44.6
2017-01-08,83.2
2017-01-09,83.4
2017-01-10,83.0
2017-01-11,83.6
2017-01-12,83.6
2017-01-13,38.4
2017-01-14,38.8
2017-01-15,39.0
2017-01-16,37.8
2017-01-17,38.2
2017-01-18,39.8
2017-01-19,40.4
2017-01-20,41.4
2017-01-21,42.8
2017-01-22,42.6
2017-01-23,41.6
2017-01-24,41.4
2017-01-25,41.4
2017-01-26,40.8
2017-01-27,42.8
2017-01-28,43.2
2017-01-29,44.2
2017-01-30,44.6
2017-01-31,45.4
2017-02-01,46.2
2017-02-02,63.0
2017-02-03,60.6
2017-02-04,59.2
2017-02-05,57.2
2017-02-06,53.8
2017-02-07,33.8
2017-02-08,31.4
2017-02-09,30.4
2017-02-10,31.2
2017-02-11,31.4
2017-02-12,32.8
2017-02-13,35.4
2017-02-14,38.6
2017-02-15,40.8
2017-02-16,41.0
2017-02-17,43.6
2017-02-18,45.8
2017-02-19,44.6
2017-02-20,41.8
2017-02-21,41.6
2017-02-22,40.2
2017-02-23,40.4
2017-02-24,41.0
2017-02-25,42.6
2017-02-26,43.4
2017-02-27,44.2
2017-02-28,44.2
2017-03-01,44.6
2017-03-02,44.2
2017-03-03,45.0
2017-03-04,47.2
2017-03-05,47.0
2017-03-06,45.8
2017-03-07,45.2
2017-03-08,44.2
2017-03-09,41.4
2017-03-10,43.4
2017-03-11,45.4
2017-03-12,48.0
2017-03-13,50.0
2017-03-14,55.2
2017-03-15,53.4
2017-03-16,52.6
2017-03-17,52.2
2017-03-18,54.6
2017-03-19,54.8
2017-03-20,53.2
2017-03-21,49.8
2017-03-22,48.2
2017-03-23,43.4
2017-03-24,38.0
2017-03-25,39.6
2017-03-26,42.0
2017-03-27,44.4
2017-03-28,45.6
2017-03-29,48.0
2017-03-30,53.0
2017-03-31,56.8
2017-04-01,56.2
2017-04-02,58.0
2017-04-03,58.6
2017-04-04,56.0
2017-04-05,63.4
2017-04-06,68.4
2017-04-07,69.6
2017-04-08,67.6
2017-04-09,65.8
2017-04-10,57.2
2017-04-11,52.2
2017-04-12,47.4
2017-04-13,47.4
2017-04-14,47.8
2017-04-15,47.8
2017-04-16,48.2
2017-04-17,48.0
2017-04-18,46.2
2017-04-19,44.6
2017-04-20,45.2
2017-04-21,48.6
2017-04-22,52.2
2017-04-23,55.8
2017-04-24,58.2
2017-04-25,58.0
2017-04-26,53.6
2017-04-27,55.0
2017-04-28,57.8
2017-04-29,62.4
2017-04-30,69.8
2017-05-01,80.0
2017-05-02,82.0
2017-05-03,80.6
2017-05-04,74.8
2017-05-05,65.0
2017-05-06,56.6
2017-05-07,53.4
2017-05-08,52.6
2017-05-09,55.2
2017-05-10,56.6
2017-05-11,53.6
2017-05-12,54.0
2017-05-13,52.4
2017-05-14,49.6
2017-05-15,48.0
2017-05-16,47.8
2017-05-17,45.2
2017-05-18,46.4
2017-05-19,52.4
2017-05-20,61.2
2017-05-21,68.2
2017-05-22,71.6
2017-05-23,70.6
2017-05-24,62.8
2017-05-25,53.0
2017-05-26,47.0
2017-05-27,42.0
2017-05-28,39.6
2017-05-29,42.2
2017-05-30,45.0
2017-05-31,45.8
2017-06-01,47.0
2017-06-02,48.2
2017-06-03,48.4
2017-06-04,49.4
2017-06-05,51.6
2017-06-06,53.8
2017-06-07,53.0
2017-06-08,50.2
2017-06-09,44.8
2017-06-10,40.4
2017-06-11,36.2
2017-06-12,37.4
2017-06-13,40.6
2017-06-14,46.4
2017-06-15,51.2
2017-06-16,55.2
2017-06-17,58.8
2017-06-18,59.6
2017-06-19,57.8
2017-06-20,54.2
2017-06-21,54.2
2017-06-22,50.4
2017-06-23,47.2
2017-06-24,44.6
2017-06-25,45.6
2017-06-26,42.8
2017-06-27,42.0
2017-06-28,41.2
2017-06-29,44.6
2017-06-30,45.4
2017-07-01,48.4
2017-07-02,48.8
2017-07-03,54.6
2017-07-04,54.2
2017-07-05,53.6
2017-07-06,52.8
2017-07-07,56.4
2017-07-08,57.8
2017-07-09,66.4
2017-07-10,66.6
2017-07-11,66.0
2017-07-12,64.2
2017-07-13,59.0
2017-07-14,48.2
2017-07-15,51.0
2017-07-16,59.8
2017-07-17,61.8
2017-07-18,64.4
2017-07-19,67.2
2017-07-20,63.4
2017-07-21,57.6
2017-07-22,54.8
2017-07-23,52.6
2017-07-24,50.8
2017-07-25,48.6
2017-07-26,43.8
2017-07-27,42.4
2017-07-28,42.8
2017-07-29,42.0
2017-07-30,42.2
2017-07-31,43.0
2017-08-01,44.8
2017-08-02,47.2
2017-08-03,48.8
2017-08-04,50.2
2017-08-05,49.0
2017-08-06,45.8
2017-08-07,43.4
2017-08-08,44.8
2017-08-09,45.4
2017-08-10,48.6
2017-08-11,52.2
2017-08-12,53.2
2017-08-13,52.8
2017-08-14,50.0
2017-08-15,48.6
2017-08-16,47.6
2017-08-17,44.6
2017-08-18,44.0
2017-08-19,47.6
2017-08-20,48.2
2017-08-21,47.4
2017-08-22,49.4
2017-08-23,50.2
2017-08-24,50.4
2017-08-25,51.6
2017-08-26,53.4
2017-08-27,51.2
2017-08-28,51.6
2017-08-29,54.4
2017-08-30,56.0
2017-08-31,58.2
2017-09-01,69.4
2017-09-02,80.8
2017-09-03,82.2
2017-09-04,83.2
2017-09-05,81.8
2017-09-06,74.6
2017-09-07,64.2
2017-09-08,60.8
2017-09-09,58.2
2017-09-10,57.6
2017-09-11,56.2
2017-09-12,52.0
2017-09-13,48.6
2017-09-14,44.8
2017-09-15,43.6
2017-09-16,44.0
2017-09-17,47.6
2017-09-18,50.2
2017-09-19,52.6
2017-09-20,52.4
2017-09-21,49.0
2017-09-22,44.0
2017-09-23,42.2
2017-09-24,42.8
2017-09-25,43.4
2017-09-26,51.6
2017-09-27,58.8
2017-09-28,66.0
2017-09-29,69.6
2017-09-30,71.0
2017-10-01,66.6
2017-10-02,63.4
2017-10-03,58.0
2017-10-04,54.8
2017-10-05,55.6
2017-10-06,61.4
2017-10-07,65.8
2017-10-08,67.4
2017-10-09,69.6
2017-10-10,69.0
2017-10-11,63.6
2017-10-12,62.4
2017-10-13,64.0
2017-10-14,69.0
2017-10-15,76.8
2017-10-16,85.8
2017-10-17,87.6
2017-10-18,88.6
2017-10-19,83.4
2017-10-20,72.2
2017-10-21,60.0
2017-10-22,53.6
2017-10-23,50.4
2017-10-24,49.0
2017-10-25,50.2
2017-10-26,56.2
2017-10-27,57.4
2017-10-28,57.4
2017-10-29,58.0
2017-10-30,59.0
2017-10-31,52.2
2017-11-01,49.6
2017-11-02,46.2
2017-11-03,42.4
2017-11-04,39.8
2017-11-05,40.4
2017-11-06,39.8
2017-11-07,40.4
2017-11-08,41.0
2017-11-09,40.2
2017-11-10,39.2
2017-11-11,40.2
2017-11-12,39.8
2017-11-13,40.2
2017-11-14,42.4
2017-11-15,44.0
2017-11-16,44.8
2017-11-17,44.8
2017-11-18,44.6
2017-11-19,44.0
2017-11-20,44.4
2017-11-21,45.2
2017-11-22,44.8
2017-11-23,47.0
2017-11-24,49.8
2017-11-25,58.8
2017-11-26,59.8
2017-11-27,61.2
2017-11-28,60.2
2017-11-29,58.4
2017-11-30,49.4
2017-12-01,49.0
2017-12-02,51.4
2017-12-03,53.4
2017-12-04,54.4
2017-12-05,74.6
2017-12-06,106.8
2017-12-07,157.6
2017-12-08,183.2
2017-12-09,208.4
2017-12-10,214.6
2017-12-11,206.8
2017-12-12,179.2
2017-12-13,175.8
2017-12-14,171.2
2017-12-15,164.8
2017-12-16,162.2
2017-12-17,150.0
2017-12-18,130.2
2017-12-19,112.0
2017-12-20,93.2
2017-12-21,70.2
2017-12-22,57.6
2017-12-23,52.8
2017-12-24,51.2
2017-12-25,52.2
2017-12-26,54.8
2017-12-27,57.0
2017-12-28,58.6
2017-12-29,57.0
2017-12-30,56.0
2017-12-31,56.2
2018-01-01,55.4
2018-01-02,55.6
2018-01-03,56.4
2018-01-04,56.4
2018-01-05,50.8
2018-01-06,46.6
2018-01-07,47.0
2018-01-08,46.0
2018-01-09,44.0
2018-01-10,45.2
2018-01-11,49.4
2018-01-12,49.2
2018-01-13,54.6
2018-01-14,62.6
2018-01-15,66.6
2018-01-16,69.2
2018-01-17,70.0
2018-01-18,65.8
2018-01-19,57.6
2018-01-20,53.6
2018-01-21,47.8
2018-01-22,44.0
2018-01-23,41.6
2018-01-24,41.4
2018-01-25,42.2
2018-01-26,42.8
2018-01-27,43.4
2018-01-28,44.2
2018-01-29,44.6
2018-01-30,45.2
2018-01-31,44.8
2018-02-01,46.8
2018-02-02,49.4
2018-02-03,54.8
2018-02-04,56.0
2018-02-05,60.4
2018-02-06,67.6
2018-02-07,68.6
2018-02-08,64.4
2018-02-09,65.2
2018-02-10,65.0
2018-02-11,58.4
2018-02-12,54.8
2018-02-13,53.8
2018-02-14,51.4
2018-02-15,48.2
2018-02-16,47.0
2018-02-17,48.6
2018-02-18,51.2
2018-02-19,51.8
2018-02-20,52.0
2018-02-21,51.6
2018-02-22,50.4
2018-02-23,48.6
2018-02-24,49.0
2018-02-25,50.0
2018-02-26,50.0
2018-02-27,50.6
2018-02-28,50.6
2018-03-01,52.2
2018-03-02,51.0
2018-03-03,51.4
2018-03-04,51.0
2018-03-05,50.0
2018-03-06,50.6
2018-03-07,50.8
2018-03-08,51.4
2018-03-09,50.2
2018-03-10,48.8
2018-03-11,43.8
2018-03-12,42.4
2018-03-13,39.2
2018-03-14,40.0
2018-03-15,42.0
2018-03-16,43.8
2018-03-17,44.8
2018-03-18,46.8
2018-03-19,46.2
2018-03-20,45.8
2018-03-21,45.6
2018-03-22,45.0
2018-03-23,44.0
2018-03-24,44.0
2018-03-25,44.6
2018-03-26,45.2
2018-03-27,46.0
2018-03-28,47.0
2018-03-29,49.2
2018-03-30,50.0
2018-03-31,50.6
2018-04-01,51.4
2018-04-02,52.0
2018-04-03,51.4
2018-04-04,52.0
2018-04-05,53.4
2018-04-06,51.2
2018-04-07,48.6
2018-04-08,48.4
2018-04-09,49.0
2018-04-10,49.0
2018-04-11,50.8
2018-04-12,54.8
2018-04-13,57.4
2018-04-14,61.2
2018-04-15,61.8
2018-04-16,61.0
2018-04-17,58.8
2018-04-18,55.6
2018-04-19,48.8
2018-04-20,47.2
2018-04-21,49.6
2018-04-22,53.0
2018-04-23,54.8
2018-04-24,56.8
2018-04-25,58.0
2018-04-26,57.8
2018-04-27,56.0
2018-04-28,54.4
2018-04-29,53.4
2018-04-30,51.8
2018-05-01,51.0
2018-05-02,48.6
2018-05-03,48.0
2018-05-04,49.4
2018-05-05,52.8
2018-05-06,52.6
2018-05-07,54.6
2018-05-08,55.0
2018-05-09,54.4
2018-05-10,51.8
2018-05-11,52.8
2018-05-12,53.0
2018-05-13,52.8
2018-05-14,50.6
2018-05-15,48.0
2018-05-16,45.2
2018-05-17,43.2
2018-05-18,42.0
2018-05-19,42.2
2018-05-20,43.4
2018-05-21,43.8
2018-05-22,42.8
2018-05-23,42.4
2018-05-24,41.8
2018-05-25,39.8
2018-05-26,38.6
2018-05-27,41.2
2018-05-28,44.2
2018-05-29,45.2
2018-05-30,45.4
2018-05-31,46.8
2018-06-01,46.4
2018-06-02,46.6
2018-06-03,49.4
2018-06-04,53.4
2018-06-05,54.8
2018-06-06,53.6
2018-06-07,53.0
2018-06-08,53.0
2018-06-09,52.8
2018-06-10,53.8
2018-06-11,56.6
2018-06-12,58.4
2018-06-13,58.4
2018-06-14,57.6
2018-06-15,56.8
2018-06-16,54.0
2018-06-17,50.0
2018-06-18,47.0
2018-06-19,47.4
2018-06-20,47.4
2018-06-21,47.0
2018-06-22,49.2
2018-06-23,59.2
2018-06-24,57.8
2018-06-25,54.4
2018-06-26,54.0
2018-06-27,53.8
2018-06-28,46.0
2018-06-29,48.0
2018-06-30,51.6
2018-07-01,51.8
2018-07-02,48.6
2018-07-03,45.0
2018-07-04,46.2
2018-07-05,45.6
2018-07-06,50.0
2018-07-07,56.6
2018-07-08,69.4
2018-07-09,69.0
2018-07-10,70.2
2018-07-11,68.6
2018-07-12,62.2
2018-07-13,49.0
2018-07-14,44.0
2018-07-15,39.2
2018-07-16,35.0
2018-07-17,35.4
2018-07-18,38.0
2018-07-19,40.4
2018-07-20,41.4
2018-07-21,40.6
2018-07-22,40.6
2018-07-23,41.8
2018-07-24,44.0
2018-07-25,48.2
2018-07-26,53.2
2018-07-27,56.4
2018-07-28,56.2
2018-07-29,55.8
2018-07-30,53.2
2018-07-31,52.8
2018-08-01,51.0
2018-08-02,51.0
2018-08-03,50.2
2018-08-04,51.8
2018-08-05,52.2
2018-08-06,60.0
2018-08-07,65.6
2018-08-08,69.6
2018-08-09,69.4
2018-08-10,69.2
2018-08-11,60.2
2018-08-12,54.6
2018-08-13,49.2
2018-08-14,46.8
2018-08-15,46.6
2018-08-16,51.4
2018-08-17,55.2
2018-08-18,59.0
2018-08-19,63.6
2018-08-20,68.0
2018-08-21,68.4
2018-08-22,67.6
2018-08-23,74.8
2018-08-24,84.6
2018-08-25,85.8
2018-08-26,85.8
2018-08-27,84.2
2018-08-28,74.4
2018-08-29,61.2
2018-08-30,56.2
2018-08-31,55.8
2018-09-01,55.8
2018-09-02,56.8
2018-09-03,58.0
2018-09-04,57.2
2018-09-05,55.0
2018-09-06,53.4
2018-09-07,53.4
2018-09-08,53.8
2018-09-09,54.6
2018-09-10,55.2
2018-09-11,55.4
2018-09-12,54.2
2018-09-13,53.4
2018-09-14,51.6
2018-09-15,50.4
2018-09-16,49.2
2018-09-17,48.4
2018-09-18,47.8
2018-09-19,49.6
2018-09-20,57.8
2018-09-21,62.0
2018-09-22,62.8
2018-09-23,63.2
2018-09-24,62.6
2018-09-25,55.2
2018-09-26,53.4
2018-09-27,54.0
2018-09-28,54.6
2018-09-29,54.2
2018-09-30,53.2
2018-10-01,50.4
2018-10-02,46.2
2018-10-03,40.8
2018-10-04,36.8
2018-10-05,35.8
2018-10-06,36.0
2018-10-07,38.0
2018-10-08,43.0
2018-10-09,47.4
2018-10-10,47.8
2018-10-11,47.2
2018-10-12,48.2
2018-10-13,47.0
2018-10-14,45.2
2018-10-15,48.4
2018-10-16,54.2
2018-10-17,58.6
2018-10-18,61.6
2018-10-19,66.2
2018-10-20,68.8
2018-10-21,71.4
2018-10-22,68.8
2018-10-23,70.8
2018-10-24,72.8
2018-10-25,72.2
2018-10-26,74.8
2018-10-27,80.6
2018-10-28,76.0
2018-10-29,71.4
2018-10-30,68.0
2018-10-31,57.8
2018-11-01,53.8
2018-11-02,54.4
2018-11-03,54.2
2018-11-04,58.8
2018-11-05,61.8
2018-11-06,60.0
2018-11-07,60.2
2018-11-08,60.4
2018-11-09,57.2
2018-11-10,56.6
2018-11-11,59.2
2018-11-12,60.2
2018-11-13,59.0
2018-11-14,56.8
2018-11-15,54.6
2018-11-16,58.0
2018-11-17,64.6
2018-11-18,72.6
2018-11-19,77.8
2018-11-20,81.0
2018-11-21,74.4
2018-11-22,64.0
2018-11-23,53.4
2018-11-24,45.6
2018-11-25,41.0
2018-11-26,38.6
2018-11-27,38.6
2018-11-28,38.6
2018-11-29,39.2
2018-11-30,39.4
2018-12-01,39.0
2018-12-02,38.8
2018-12-03,40.2
2018-12-04,40.8
2018-12-05,40.8
2018-12-06,39.2
2018-12-07,38.8
2018-12-08,38.0
2018-12-09,37.0
2018-12-10,36.6
2018-12-11,38.6
2018-12-12,43.0
2018-12-13,45.0
2018-12-14,45.6
2018-12-15,48.2
2018-12-16,47.6
2018-12-17,43.8
2018-12-18,42.8
2018-12-19,45.8
2018-12-20,43.0
2018-12-21,45.2
2018-12-22,47.6
2018-12-23,49.4
2018-12-24,46.4
2018-12-25,47.0
2018-12-26,43.8
2018-12-27,41.2
2018-12-28,38.6
2018-12-29,38.2
2018-12-30,38.2
2018-12-31,38.8
