date,aqi,category,defining_parameter,defining_site,number_of_sites_reporting,five_day_average
2017-01-01,39,Good,Ozone,06-083-4003,12,39.0
2017-01-02,39,Good,PM2.5,06-083-2011,11,39.0
2017-01-03,71,Moderate,PM10,06-083-4003,12,49.666666666666664
2017-01-04,34,Good,Ozone,06-083-4003,13,45.75
2017-01-05,37,Good,Ozone,06-083-4003,12,44.0
2017-01-06,41,Good,PM2.5,06-083-2011,12,44.4
2017-01-07,40,Good,Ozone,06-083-4003,13,44.6
2017-01-08,264,Very Unhealthy,PM10,06-083-4003,12,83.2
2017-01-09,35,Good,Ozone,06-083-4003,12,83.4
2017-01-10,35,Good,Ozone,06-083-1025,13,83.0
2017-01-11,44,Good,PM2.5,06-083-1008,12,83.6
2017-01-12,40,Good,Ozone,06-083-1025,12,83.6
2017-01-13,38,Good,Ozone,06-083-1025,12,38.4
2017-01-14,37,Good,Ozone,06-083-1025,11,38.8
2017-01-15,36,Good,Ozone,06-083-1025,11,39.0
2017-01-16,38,Good,PM2.5,06-083-2011,12,37.8
2017-01-17,42,Good,PM2.5,06-083-2011,12,38.2
2017-01-18,46,Good,PM2.5,06-083-2011,12,39.8
2017-01-19,40,Good,Ozone,06-083-4003,13,40.4
2017-01-20,41,Good,Ozone,06-083-1025,12,41.4
2017-01-21,45,Good,PM10,06-083-4003,12,42.8
2017-01-22,41,Good,Ozone,06-083-4003,13,42.6
2017-01-23,41,Good,Ozone,06-083-4003,12,41.6
2017-01-24,39,Good,Ozone,06-083-1025,12,41.4
2017-01-25,41,Good,Ozone,06-083-1021,12,41.4
2017-01-26,42,Good,Ozone,06-083-2011,12,40.8
2017-01-27,51,Moderate,PM2.5,06-083-1008,12,42.8
2017-01-28,43,Good,Ozone,06-083-1021,13,43.2
2017-01-29,44,Good,Ozone,06-083-1021,12,44.2
2017-01-30,43,Good,Ozone,06-083-1013,11,44.6
2017-01-31,46,Good,Ozone,06-083-1013,13,45.4
2017-02-01,55,Moderate,PM2.5,06-083-2011,12,46.2
2017-02-02,127,Unhealthy for Sensitive Groups,PM10,06-083-4003,12,63.0
2017-02-03,32,Good,Ozone,06-083-4003,13,60.6
2017-02-04,36,Good,Ozone,06-083-4003,12,59.2
2017-02-05,36,Good,Ozone,06-083-4003,12,57.2
2017-02-06,38,Good,Ozone,06-083-1021,13,53.8
2017-02-07,27,Good,Ozone,06-083-1025,12,33.8
2017-02-08,20,Good,Ozone,06-083-2011,12,31.4
2017-02-09,31,Good,Ozone,06-083-4003,12,30.4
2017-02-10,40,Good,Ozone,06-083-4003,12,31.2
2017-02-11,39,Good,Ozone,06-083-4003,12,31.4
2017-02-12,34,Good,Ozone,06-083-1025,13,32.8
2017-02-13,33,Good,Ozone,06-083-1025,12,35.4
2017-02-14,47,Good,PM2.5,06-083-2011,12,38.6
2017-02-15,51,Moderate,PM2.5,06-083-2011,13,40.8
2017-02-16,40,Good,Ozone,06-083-4003,12,41.0
2017-02-17,47,Good,Ozone,06-083-1021,12,43.6
2017-02-18,44,Good,Ozone,06-083-1025,13,45.8
2017-02-19,41,Good,Ozone,06-083-4003,12,44.6
2017-02-20,37,Good,Ozone,06-083-4003,12,41.8
2017-02-21,39,Good,Ozone,06-083-4003,13,41.6
2017-02-22,40,Good,Ozone,06-083-4003,12,40.2
2017-02-23,45,Good,Ozone,06-083-1021,12,40.4
2017-02-24,44,Good,Ozone,06-083-1021,12,41.0
2017-02-25,45,Good,PM2.5,06-083-2011,12,42.6
2017-02-26,43,Good,Ozone,06-083-4003,12,43.4
2017-02-27,44,Good,Ozone,06-083-1021,13,44.2
2017-02-28,45,Good,PM2.5,06-083-1008,12,44.2
2017-03-01,46,Good,Ozone,06-083-1021,11,44.6
2017-03-02,43,Good,Ozone,06-083-1025,13,44.2
2017-03-03,47,Good,Ozone,06-083-1021,12,45.0
2017-03-04,55,Moderate,PM2.5,06-083-2011,12,47.2
2017-03-05,44,Good,Ozone,06-083-1021,13,47.0
2017-03-06,40,Good,Ozone,06-083-4003,12,45.8
2017-03-07,40,Good,Ozone,06-083-4003,12,45.2
2017-03-08,42,Good,Ozone,06-083-1025,12,44.2
2017-03-09,41,Good,Ozone,06-083-1014,12,41.4
2017-03-10,54,Moderate,PM2.5,06-083-2011,12,43.4
2017-03-11,50,Good,PM2.5,06-083-1008,13,45.4
2017-03-12,53,Moderate,PM2.5,06-083-1008,12,48.0
2017-03-13,52,Moderate,PM2.5,06-083-2011,12,50.0
2017-03-14,67,Moderate,Ozone,06-083-4003,13,55.2
2017-03-15,45,Good,Ozone,06-083-4003,12,53.4
2017-03-16,46,Good,PM2.5,06-083-2011,12,52.6
2017-03-17,51,Moderate,PM2.5,06-083-2011,12,52.2
2017-03-18,64,Moderate,PM2.5,06-083-2011,12,54.6
2017-03-19,68,Moderate,PM2.5,06-083-2011,12,54.8
2017-03-20,37,Good,Ozone,06-083-4003,13,53.2
2017-03-21,29,Good,Ozone,06-083-4003,12,49.8
2017-03-22,43,Good,Ozone,06-083-4003,12,48.2
2017-03-23,40,Good,Ozone,06-083-4003,13,43.4
2017-03-24,41,Good,Ozone,06-083-1014,12,38.0
2017-03-25,45,Good,Ozone,06-083-4003,12,39.6
2017-03-26,41,Good,Ozone,06-083-4003,13,42.0
2017-03-27,55,Moderate,PM2.5,06-083-1008,12,44.4
2017-03-28,46,Good,PM10,06-083-4003,12,45.6
2017-03-29,53,Moderate,PM2.5,06-083-1008,13,48.0
2017-03-30,70,Moderate,PM2.5,06-083-1008,12,53.0
2017-03-31,60,Moderate,PM2.5,06-083-1008,12,56.8
2017-04-01,52,Moderate,PM2.5,06-083-2011,13,56.2
2017-04-02,55,Moderate,PM2.5,06-083-2011,12,58.0
2017-04-03,56,Moderate,PM2.5,06-083-1008,12,58.6
2017-04-04,57,Moderate,PM2.5,06-083-1008,13,56.0
2017-04-05,97,Moderate,Ozone,06-083-3001,12,63.4
2017-04-06,77,Moderate,Ozone,06-083-1014,12,68.4
2017-04-07,61,Moderate,Ozone,06-083-1014,13,69.6
2017-04-08,46,Good,Ozone,06-083-4003,12,67.6
2017-04-09,48,Good,Ozone,06-083-0011,12,65.8
2017-04-10,54,Moderate,Ozone,06-083-0011,13,57.2
2017-04-11,52,Moderate,PM2.5,06-083-2011,12,52.2
2017-04-12,37,Good,Ozone,06-083-0011,12,47.4
2017-04-13,46,Good,Ozone,06-083-0011,12,47.4
2017-04-14,50,Good,Ozone,06-083-1014,12,47.8
2017-04-15,54,Moderate,Ozone,06-083-1014,12,47.8
2017-04-16,54,Moderate,Ozone,06-083-1014,13,48.2
2017-04-17,36,Good,Ozone,06-083-0011,12,48.0
2017-04-18,37,Good,Ozone,06-083-4003,12,46.2
2017-04-19,42,Good,Ozone,06-083-4003,13,44.6
2017-04-20,57,Moderate,PM2.5,06-083-1008,12,45.2
2017-04-21,71,Moderate,Ozone,06-083-0011,12,48.6
2017-04-22,54,Moderate,PM2.5,06-083-2011,13,52.2
2017-04-23,55,Moderate,PM2.5,06-083-1008,12,55.8
2017-04-24,54,Moderate,PM2.5,06-083-1008,12,58.2
2017-04-25,56,Moderate,PM2.5,06-083-1008,13,58.0
2017-04-26,49,Good,PM2.5,06-083-1008,12,53.6
2017-04-27,61,Moderate,PM2.5,06-083-1008,12,55.0
2017-04-28,69,Moderate,PM2.5,06-083-1008,13,57.8
2017-04-29,77,Moderate,Ozone,06-083-0011,12,62.4
2017-04-30,93,Moderate,Ozone,06-083-0011,12,69.8
2017-05-01,100,Moderate,Ozone,06-083-0011,13,80.0
2017-05-02,71,Moderate,Ozone,06-083-2011,12,82.0
2017-05-03,62,Moderate,PM2.5,06-083-1008,12,80.6
2017-05-04,48,Good,Ozone,06-083-1014,13,74.8
2017-05-05,44,Good,Ozone,06-083-4003,12,65.0
2017-05-06,58,Moderate,PM2.5,06-083-1008,12,56.6
2017-05-07,55,Moderate,PM2.5,06-083-1008,13,53.4
2017-05-08,58,Moderate,PM2.5,06-083-1008,12,52.6
2017-05-09,61,Moderate,PM2.5,06-083-1008,12,55.2
2017-05-10,51,Moderate,PM2.5,06-083-2004,13,56.6
2017-05-11,43,Good,PM2.5,06-083-1008,12,53.6
2017-05-12,57,Moderate,PM2.5,06-083-1008,12,54.0
2017-05-13,50,Good,PM2.5,06-083-1008,13,52.4
2017-05-14,47,Good,PM2.5,06-083-2011,12,49.6
2017-05-15,43,Good,PM2.5,06-083-2004,12,48.0
2017-05-16,42,Good,Ozone,06-083-4003,12,47.8
2017-05-17,44,Good,PM2.5,06-083-2004,12,45.2
2017-05-18,56,Moderate,PM2.5,06-083-1008,12,46.4
2017-05-19,77,Moderate,Ozone,06-083-0011,13,52.4
2017-05-20,87,Moderate,Ozone,06-083-0011,11,61.2
2017-05-21,77,Moderate,Ozone,06-083-1014,11,68.2
2017-05-22,61,Moderate,Ozone,06-083-1014,12,71.6
2017-05-23,51,Moderate,Ozone,06-083-1014,12,70.6
2017-05-24,38,Good,Ozone,06-083-0011,11,62.8
2017-05-25,38,Good,Ozone,06-083-0011,12,53.0
2017-05-26,47,Good,PM2.5,06-083-1008,12,47.0
2017-05-27,36,Good,Ozone,06-083-2004,12,42.0
2017-05-28,39,Good,PM2.5,06-083-2011,13,39.6
2017-05-29,51,Moderate,PM2.5,06-083-2011,12,42.2
2017-05-30,52,Moderate,PM2.5,06-083-2011,12,45.0
2017-05-31,51,Moderate,PM2.5,06-083-1008,13,45.8
2017-06-01,42,Good,Ozone,06-083-2011,12,47.0
2017-06-02,45,Good,PM2.5,06-083-1008,12,48.2
2017-06-03,52,Moderate,PM2.5,06-083-2004,13,48.4
2017-06-04,57,Moderate,PM2.5,06-083-2004,12,49.4
2017-06-05,62,Moderate,PM2.5,06-083-2004,12,51.6
2017-06-06,53,Moderate,PM2.5,06-083-1008,13,53.8
2017-06-07,41,Good,Ozone,06-083-1014,12,53.0
2017-06-08,38,Good,Ozone,06-083-1014,12,50.2
2017-06-09,30,Good,Ozone,06-083-1013,13,44.8
2017-06-10,40,Good,PM10,06-083-1008,12,40.4
2017-06-11,32,Good,Ozone,06-083-2004,12,36.2
2017-06-12,47,Good,PM2.5,06-083-1008,13,37.4
2017-06-13,54,Moderate,PM2.5,06-083-2004,12,40.6
2017-06-14,59,Moderate,PM2.5,06-083-1008,12,46.4
2017-06-15,64,Moderate,Ozone,06-083-1025,13,51.2
2017-06-16,52,Moderate,PM2.5,06-083-2011,12,55.2
2017-06-17,65,Moderate,PM2.5,06-083-1008,12,58.8
2017-06-18,58,Moderate,PM2.5,06-083-1008,13,59.6
2017-06-19,50,Good,PM2.5,06-083-1008,12,57.8
2017-06-20,46,Good,PM2.5,06-083-2011,12,54.2
2017-06-21,52,Moderate,PM2.5,06-083-2011,13,54.2
2017-06-22,46,Good,PM2.5,06-083-2011,12,50.4
2017-06-23,42,Good,Ozone,06-083-1014,11,47.2
2017-06-24,37,Good,Ozone,06-083-1014,12,44.6
2017-06-25,51,Moderate,PM2.5,06-083-2011,12,45.6
2017-06-26,38,Good,Ozone,06-083-1025,12,42.8
2017-06-27,42,Good,Ozone,06-083-1025,13,42.0
2017-06-28,38,Good,PM2.5,06-083-2011,12,41.2
2017-06-29,54,Moderate,PM2.5,06-083-2011,12,44.6
2017-06-30,55,Moderate,PM2.5,06-083-2004,13,45.4
2017-07-01,53,Moderate,PM2.5,06-083-1008,12,48.4
2017-07-02,44,Good,Ozone,06-083-1014,12,48.8
2017-07-03,67,Moderate,Ozone,06-083-1014,13,54.6
2017-07-04,52,Moderate,PM2.5,06-083-1008,12,54.2
2017-07-05,52,Moderate,PM2.5,06-083-2011,12,53.6
2017-07-06,49,Good,Ozone,06-083-2011,13,52.8
2017-07-07,62,Moderate,PM2.5,06-083-2011,12,56.4
2017-07-08,74,Moderate,Ozone,06-083-1014,12,57.8
2017-07-09,95,Moderate,PM2.5,06-083-9000,13,66.4
2017-07-10,53,Moderate,PM2.5,06-083-1008,11,66.6
2017-07-11,46,Good,PM2.5,06-083-1008,12,66.0
2017-07-12,53,Moderate,PM2.5,06-083-1008,13,64.2
2017-07-13,48,Good,PM2.5,06-083-1008,12,59.0
2017-07-14,41,Good,PM2.5,06-083-2011,12,48.2
2017-07-15,67,Moderate,Ozone,06-083-1014,13,51.0
2017-07-16,90,Moderate,Ozone,06-083-1014,12,59.8
2017-07-17,63,Moderate,PM2.5,06-083-1008,12,61.8
2017-07-18,61,Moderate,PM2.5,06-083-1008,13,64.4
2017-07-19,55,Moderate,PM2.5,06-083-2004,12,67.2
2017-07-20,48,Good,PM10,06-083-0008,12,63.4
2017-07-21,61,Moderate,PM2.5,06-083-2004,13,57.6
2017-07-22,49,Good,PM2.5,06-083-2011,12,54.8
2017-07-23,50,Good,Ozone,06-083-1014,11,52.6
2017-07-24,46,Good,Ozone,06-083-1014,13,50.8
2017-07-25,37,Good,Ozone,06-083-1014,12,48.6
2017-07-26,37,Good,Ozone,06-083-1014,12,43.8
2017-07-27,42,Good,Ozone,06-083-1014,13,42.4
2017-07-28,52,Moderate,PM2.5,06-083-2004,12,42.8
2017-07-29,42,Good,Ozone,06-083-1014,12,42.0
2017-07-30,38,Good,Ozone,06-083-1014,13,42.2
2017-07-31,41,Good,Ozone,06-083-1014,12,43.0
2017-08-01,51,Moderate,Ozone,06-083-1014,12,44.8
2017-08-02,64,Moderate,Ozone,06-083-3001,13,47.2
2017-08-03,50,Good,Ozone,06-083-1014,12,48.8
2017-08-04,45,Good,Ozone,06-083-3001,12,50.2
2017-08-05,35,Good,Ozone,06-083-1014,13,49.0
2017-08-06,35,Good,PM2.5,06-083-2011,12,45.8
2017-08-07,52,Moderate,PM2.5,06-083-1008,12,43.4
2017-08-08,57,Moderate,PM2.5,06-083-2011,13,44.8
2017-08-09,48,Good,PM2.5,06-083-1008,11,45.4
2017-08-10,51,Moderate,PM2.5,06-083-1008,12,48.6
2017-08-11,53,Moderate,PM2.5,06-083-2011,12,52.2
